friendNum,movRecNum,precisionRate,recallRate,absCoverageRate,refCoverageRate,timecost
10,10,2.7985,25.4754,0.1772,5.6230,1218.0690
10,20,4.7331,21.5656,0.3089,4.9016,1122.0117
10,30,6.3897,19.4208,0.4302,4.5519,1218.0840
10,40,8.1423,18.5697,0.5516,4.3770,1228.4757
10,50,9.1991,16.7508,0.6952,4.4131,1207.3930
20,10,3.1586,28.7377,0.0863,2.7377,1859.8284
20,20,5.7031,25.9836,0.1534,2.4344,1832.6371
20,30,7.4155,22.5410,0.2350,2.4863,1905.2865
20,40,9.1082,20.7500,0.3032,2.4057,1932.7731
20,50,10.6377,19.3607,0.3724,2.3639,1911.3858
30,10,3.3255,30.3115,0.0532,1.6885,2566.3753
30,20,5.6658,25.8033,0.1007,1.5984,2589.7080
30,10,3.2959,30.0000,0.0522,1.6557,2539.8490
30,20,5.7955,26.3689,0.1023,1.6230,2459.4556
30,30,7.7934,23.6230,0.1581,1.6721,2577.2363
30,40,9.5419,21.7254,0.2056,1.6311,2564.2801
30,50,11.1393,20.2885,0.2686,1.7049,2553.6512
40,10,3.4495,31.3934,0.0398,1.2623,3150.0747
40,20,5.9462,27.0082,0.0739,1.1721,3167.1364
40,30,7.9821,24.2077,0.1209,1.2787,3218.5890
40,40,9.8328,22.3893,0.1679,1.3320,3237.0423
40,50,11.4040,20.7639,0.2035,1.2918,3232.7518
50,10,3.5106,32.0164,0.0351,1.1148,3892.0728
50,20,5.9379,27.0492,0.0635,1.0082,3927.1686
50,30,8.0677,24.4973,0.0981,1.0383,3933.6547
50,40,9.9795,22.7336,0.1364,1.0820,3917.1745
50,50,11.6230,21.1508,0.1694,1.0754,3955.3056
